starting_time,end_time,total_time,algorithm
1529534518.2756453,1529534518.431969,0.15632367134094238,qs4
1529534518.431972,1529534518.5897915,0.15781950950622559,qs5
1529534518.589796,1529534518.782707,0.19291090965270996,merge1
1529534518.7827117,1529534518.917477,0.1347651481628418,partition_sort
1529534518.9174829,1529534519.0269454,0.10946249961853027,qs1
1529534519.0269496,1529534519.2058513,0.17890167236328125,qs2
1529534519.2058558,1529534519.3770263,0.17117047309875488,qs3
1529534519.37703,1529534519.5300353,0.15300536155700684,qs4
1529534519.5300384,1529534519.6868207,0.1567823886871338,qs5
1529534519.6868255,1529534519.880428,0.1936025619506836,merge1
1529534519.8804336,1529534520.035848,0.15541434288024902,partition_sort
1529534520.0358548,1529534520.1458561,0.1100013256072998,qs1
1529534520.1458611,1529534520.328976,0.18311476707458496,qs2
1529534520.3289797,1529534520.5032065,0.1742267608642578,qs3
1529534520.5032108,1529534520.655992,0.15278124809265137,qs4
1529534520.6559963,1529534520.80745,0.15145373344421387,qs5
1529534520.807454,1529534521.0056462,0.19819211959838867,merge1
1529534521.0056517,1529534521.1393163,0.13366460800170898,partition_sort
1529534521.1393216,1529534521.2477071,0.10838556289672852,qs1
1529534521.2477114,1529534521.4304154,0.18270397186279297,qs2
1529534521.4304197,1529534521.6091802,0.17876052856445312,qs3
1529534521.6091845,1529534521.7640805,0.15489602088928223,qs4
1529534521.764085,1529534521.9159493,0.15186429023742676,qs5
1529534521.9159536,1529534522.1137435,0.19778990745544434,merge1
1529534522.1137488,1529534522.247894,0.13414525985717773,partition_sort
1529534522.247899,1529534522.3569782,0.10907912254333496,qs1
1529534522.356982,1529534522.5386145,0.18163251876831055,qs2
1529534522.5386188,1529534522.7275078,0.1888890266418457,qs3
1529534522.727512,1529534522.8815417,0.15402984619140625,qs4
1529534522.8815458,1529534523.0338743,0.1523284912109375,qs5
1529534523.033878,1529534523.2248492,0.19097113609313965,merge1
1529534523.224853,1529534523.3589668,0.13411378860473633,partition_sort
1529534523.3589728,1529534523.467063,0.10809016227722168,qs1
1529534523.4670672,1529534523.6414573,0.17439007759094238,qs2
1529534523.6414618,1529534523.8136184,0.17215657234191895,qs3
1529534523.8136237,1529534523.9665713,0.15294766426086426,qs4
1529534523.966575,1529534524.1170626,0.15048766136169434,qs5
1529534524.117066,1529534524.3087757,0.1917097568511963,merge1
1529534524.3087797,1529534524.4427803,0.13400053977966309,partition_sort
1529534524.4427848,1529534524.5502574,0.10747265815734863,qs1
1529534524.5502613,1529534524.7318625,0.18160128593444824,qs2
1529534524.7318668,1529534524.9106746,0.17880773544311523,qs3
1529534524.91068,1529534525.0592782,0.14859819412231445,qs4
1529534525.059282,1529534525.212436,0.1531538963317871,qs5
1529534525.2124388,1529534525.4038424,0.19140362739562988,merge1
1529534525.4038465,1529534525.5385551,0.13470864295959473,partition_sort
1529534525.5385602,1529534525.6468203,0.1082601547241211,qs1
1529534525.6468244,1529534525.8268077,0.17998337745666504,qs2
1529534525.8268125,1529534526.0120945,0.18528199195861816,qs3
1529534526.0120993,1529534526.181704,0.16960477828979492,qs4
1529534526.1817088,1529534526.5062912,0.3245823383331299,qs5
1529534526.5062978,1529534526.7916021,0.28530430793762207,merge1
1529534526.7916086,1529534526.9297256,0.13811707496643066,partition_sort
1529534526.9297323,1529534527.0388355,0.10910320281982422,qs1
1529534527.0388405,1529534527.220253,0.1814124584197998,qs2
1529534527.2202573,1529534527.4461503,0.2258930206298828,qs3
1529534527.446156,1529534527.6181839,0.1720278263092041,qs4
1529534527.6181889,1529534527.7799733,0.16178441047668457,qs5
1529534527.7799785,1529534527.98628,0.20630145072937012,merge1
1529534527.9862864,1529534528.1267292,0.1404428482055664,partition_sort
1529534528.126736,1529534528.2364826,0.10974669456481934,qs1
1529534528.2364876,1529534528.42708,0.19059228897094727,qs2
1529534528.4270856,1529534528.610976,0.18389034271240234,qs3
1529534528.6109817,1529534528.7738318,0.16285014152526855,qs4
1529534528.7738376,1529534528.9356334,0.16179585456848145,qs5
1529534528.9356377,1529534529.1327107,0.19707298278808594,merge1
